ID,propertyType,bedrooms,latitude,longitude,suburbName,distanceMetro(km),distanceAirport(km),distanceHospital(km),distanceRailway(km),area(square_meters),monthlyRent(us_dollar)
Train_0000,Apartment,3,28.63871002,77.29582214,Delhi East,0.3125793667721902,22.646031970601832,11.726965537811523,7.352494691751376,83.61,307
Train_0001,Independent Floor,1,28.49893951,77.20719147,Delhi South,2.486166950617503,13.500583236722708,7.527761014102628,15.877066374147148,83.61,110
Train_0002,Independent Floor,3,28.71412277,77.15440369,Delhi North,1.5287940292962687,18.918242849092525,17.135938530110796,10.315737115493665,78.97,369
Train_0003,Independent Floor,3,28.70433044,77.14995575,Other,0.9671213635549069,17.749251645591865,16.25193730911279,9.797816682794226,162.58,676
Train_0004,Apartment,4,28.57791519,77.04944611,Dwarka,0.8345064994879323,4.288189062469824,15.5418400775336,18.17980611571572,218.32,418
Train_0005,Apartment,2,28.57413292,77.16131592,Other,1.4119796202241288,7.796075695007418,4.619386482328233,9.476784028555263,83.61,688
Train_0006,Independent Floor,2,28.74053192,77.12149048,West Delhi,1.6655309595420928,20.886358209147424,21.0164948045793,14.628177422055906,77.3,369
Train_0007,Independent Floor,1,28.63558578,77.27140045,Other,0.7979803485610139,20.336494491275594,9.8339658517041,5.003380933242532,22.3,79
Train_0008,Apartment,1,28.5936718,77.30710602,Delhi East,0.7510626948942124,22.18192325739594,10.1588370913641,9.986886448079249,37.16,98
Train_0009,Independent House,1,28.64632225,77.16449738,Delhi Central,0.4857092393352221,12.79165545622821,9.772431286003622,5.518807747335977,32.52,123
Train_0010,Independent Floor,3,28.6860981,77.16648865,North Delhi,0.4394914657635792,16.596725500660906,13.818920241700784,7.231549372419731,167.23,492
Train_0011,Independent Floor,1,28.6060276,77.29473877,Delhi East,0.3942536092802113,21.317495150116955,9.547974487618692,8.249326048575753,111.48,79
Train_0012,Independent Floor,3,28.58465958,77.07121277,Dwarka,1.228905405521418,3.5517478452165334,13.50827282092141,15.92803282384867,102.19,295
Train_0013,Apartment,2,28.51477814,77.20412445,Delhi South,0.7376728355832134,12.507776433918307,5.7833952468532654,14.159764775302126,83.61,221
Train_0014,Independent Floor,3,28.70814323,77.13321686,North Delhi,0.5590630684109229,17.634992489721323,17.27349137379959,11.28466064772331,209.03,861
Train_0015,Apartment,3,28.59405136,77.03688812,Dwarka,0.4186512670073324,6.378701437075859,16.990228304757068,18.73554455461323,157.94,430
Train_0016,Independent Floor,3,28.64437675,77.16731262,South West Delhi,0.203635267588175,12.793757015281752,9.460051827564037,5.228203174884716,104.52,344
Train_0017,Independent Floor,1,28.63736534,77.29382324,Delhi East,0.4724396476542201,22.40677444878592,11.482306203781752,7.165749597439901,37.16,92
Train_0018,Apartment,3,28.55913162,77.0578537,Dwarka,0.7766953535123688,2.6660875223099154,14.697179784048696,18.36976268572073,163.32,516
